CustomerID,Lookalikes
C0001,"[('C0190', 0.9781888059001674), ('C0048', 0.9780352189707089), ('C0112', 0.9697814096278696)]"
C0002,"[('C0134', 0.982368582331819), ('C0106', 0.9803726659994487), ('C0159', 0.9717977789707041)]"
C0003,"[('C0031', 0.9897139499940381), ('C0158', 0.9808906213474147), ('C0129', 0.9799176306375933)]"
C0004,"[('C0113', 0.9871348783305397), ('C0012', 0.9790985357357634), ('C0104', 0.9725606963177563)]"
C0005,"[('C0007', 0.9940970926643758), ('C0146', 0.9832411149217579), ('C0186', 0.9755871050965115)]"
C0006,"[('C0187', 0.9882916308519284), ('C0011', 0.958010258699253), ('C0085', 0.9578973985453871)]"
C0007,"[('C0005', 0.9940970926643758), ('C0140', 0.9801785123102446), ('C0115', 0.9771279324630998)]"
C0008,"[('C0098', 0.9648222565161969), ('C0194', 0.9545173966367587), ('C0059', 0.9524379580307134)]"
C0009,"[('C0198', 0.9730500393437196), ('C0062', 0.9507153265596022), ('C0010', 0.9328193029992267)]"
C0010,"[('C0111', 0.9609841202299343), ('C0062', 0.9583084436031303), ('C0061', 0.9580362515820042)]"
C0011,"[('C0126', 0.9924717133638552), ('C0174', 0.9785217881398606), ('C0153', 0.9776770451180573)]"
C0012,"[('C0104', 0.9907500990896279), ('C0004', 0.9790985357357634), ('C0113', 0.9754890060392623)]"
C0013,"[('C0188', 0.980381974172052), ('C0107', 0.9799323597983635), ('C0102', 0.9793468114647417)]"
C0014,"[('C0060', 0.9825963868077362), ('C0198', 0.9413264591184909), ('C0062', 0.8956466097074305)]"
C0015,"[('C0131', 0.9792860550430935), ('C0036', 0.9746181996231743), ('C0144', 0.9622019696884271)]"
C0016,"[('C0183', 0.9990230015222747), ('C0067', 0.9863072383019867), ('C0055', 0.974103039932045)]"
C0017,"[('C0075', 0.990727070334957), ('C0041', 0.98025101666642), ('C0081', 0.9788340338588246)]"
C0018,"[('C0125', 0.9734455990930986), ('C0122', 0.9717539264744487), ('C0035', 0.9664644816796977)]"
C0019,"[('C0070', 0.9445977610940496), ('C0121', 0.9438975632865041), ('C0023', 0.9397801339318694)]"
C0020,"[('C0050', 0.9515576190200399), ('C0144', 0.934131601462882), ('C0015', 0.9329962753105632)]"
